Name,Language,Title,Episode,Season,Series,ID,Preview Link,Direct Download Link,MIME Type,Folder Path
S3 Episode 1 - Chelation Elation spanish.mp4,Spanish,Chelation Elation,1,Season 3,How to Do It Series,16sw3zdZwMfcnoiRl4Xc8MHstv47H6-RN,https://drive.google.com/file/d/16sw3zdZwMfcnoiRl4Xc8MHstv47H6-RN/preview,https://drive.google.com/uc?export=download&id=16sw3zdZwMfcnoiRl4Xc8MHstv47H6-RN,video/mp4,How to Do it Series/Season 3/Episode 1
S3 Episode 1 - Chelation Elation french.mp4,French,Chelation Elation,1,Season 3,How to Do It Series,1gXV2BLBgCHmMgvhWHJ0YefhUxdTF_X4m,https://drive.google.com/file/d/1gXV2BLBgCHmMgvhWHJ0YefhUxdTF_X4m/preview,https://drive.google.com/uc?export=download&id=1gXV2BLBgCHmMgvhWHJ0YefhUxdTF_X4m,video/mp4,How to Do it Series/Season 3/Episode 1
S3 Episode 1 - Chelation Elation german.mp4,German,Chelation Elation,1,Season 3,How to Do It Series,1nZKXkGsRUPGrka845HhPm5805IYCIReB,https://drive.google.com/file/d/1nZKXkGsRUPGrka845HhPm5805IYCIReB/preview,https://drive.google.com/uc?export=download&id=1nZKXkGsRUPGrka845HhPm5805IYCIReB,video/mp4,How to Do it Series/Season 3/Episode 1
S3 Episode 1 - Chelation Elation portuguese.mp4,Portuguese,Chelation Elation,1,Season 3,How to Do It Series,1EupwD_on1RFrCEj1nXeJu_wUam2ZodVj,https://drive.google.com/file/d/1EupwD_on1RFrCEj1nXeJu_wUam2ZodVj/preview,https://drive.google.com/uc?export=download&id=1EupwD_on1RFrCEj1nXeJu_wUam2ZodVj,video/mp4,How to Do it Series/Season 3/Episode 1
S3 Episode 1 - Chelation Elation mandarin.mp4,Mandarin,Chelation Elation,1,Season 3,How to Do It Series,1TVmJQtbfK2pxFybCL2pxJA4MX2CPpoGs,https://drive.google.com/file/d/1TVmJQtbfK2pxFybCL2pxJA4MX2CPpoGs/preview,https://drive.google.com/uc?export=download&id=1TVmJQtbfK2pxFybCL2pxJA4MX2CPpoGs,video/mp4,How to Do it Series/Season 3/Episode 1
S3 Episode 1 - Chelation Elation vietnamese.mp4,Vietnamese,Chelation Elation,1,Season 3,How to Do It Series,1SXaWyHwn9amz5HJeJ4mtNdXJt1dsx7yk,https://drive.google.com/file/d/1SXaWyHwn9amz5HJeJ4mtNdXJt1dsx7yk/preview,https://drive.google.com/uc?export=download&id=1SXaWyHwn9amz5HJeJ4mtNdXJt1dsx7yk,video/mp4,How to Do it Series/Season 3/Episode 1
S3 Episode 1 - Chelation Elation hindi.mp4,Hindi,Chelation Elation,1,Season 3,How to Do It Series,1cjGJZDlikLpgBE39GYt0pL4h-s3Kxn2N,https://drive.google.com/file/d/1cjGJZDlikLpgBE39GYt0pL4h-s3Kxn2N/preview,https://drive.google.com/uc?export=download&id=1cjGJZDlikLpgBE39GYt0pL4h-s3Kxn2N,video/mp4,How to Do it Series/Season 3/Episode 1
S3 Episode 1 - Chelation Elation arabic.mp4,Arabic,Chelation Elation,1,Season 3,How to Do It Series,1lkwgQN_0DZSjJ5AJfwOt5_s2M2enDvUr,https://drive.google.com/file/d/1lkwgQN_0DZSjJ5AJfwOt5_s2M2enDvUr/preview,https://drive.google.com/uc?export=download&id=1lkwgQN_0DZSjJ5AJfwOt5_s2M2enDvUr,video/mp4,How to Do it Series/Season 3/Episode 1
S3 Brewing Sudo-Shield - spanish.mp4,Spanish,Brewing Sudo Shield,3,Season 3,How to Do It Series,1L8wps8P8hZ3I0Sa9v8KUaEnZkqge__cK,https://drive.google.com/file/d/1L8wps8P8hZ3I0Sa9v8KUaEnZkqge__cK/preview,https://drive.google.com/uc?export=download&id=1L8wps8P8hZ3I0Sa9v8KUaEnZkqge__cK,video/mp4,How to Do it Series/Season 3/Episode 2
S3 Brewing Sudo-Shield - german.mp4,German,Brewing Sudo Shield,3,Season 3,How to Do It Series,1QYsRNAi7wEjyIcNYlYr_0VGgToY8I9KX,https://drive.google.com/file/d/1QYsRNAi7wEjyIcNYlYr_0VGgToY8I9KX/preview,https://drive.google.com/uc?export=download&id=1QYsRNAi7wEjyIcNYlYr_0VGgToY8I9KX,video/mp4,How to Do it Series/Season 3/Episode 2
